"DateTime","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-02-21 23:51:40",,,,,,,,,,,,,,,,,,44
"2020-02-24 23:51:40",,,85,,,,,,,26,,,40,,,49,,,,,,45
"2020-02-25 23:51:40",,,,,,,,63,,,,,,,,,,,,,49
"2020-02-28 23:51:40",,,,,,,,,,,,,,,,,,68
"2020-03-01 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,14
"2020-03-02 23:51:40",,,85,,,,,,,31,,,74,,,66,,,,,,73,,,24
"2020-03-03 23:51:40",,,,,,,,79,,,,,,,,,,,,,78
"2020-03-04 23:51:40",,,,,,,38
"2020-03-06 23:51:40",,,,,,,,,,,,,,,,,,70
"2020-03-09 23:51:40",,,83,,,,,,,39,,,76,,,67,,,,,,75
"2020-03-10 23:51:40",,,,,,39,,77,,,,,,,,,,,,,78
"2020-03-11 23:51:40",,,,,,,,,,,87
"2020-03-12 23:51:40",,,,,,,,,,,,,,,,,,,47
"2020-03-13 23:51:40",,,,,,49,,,,,,,,,,,,67,,,,,,24
"2020-03-15 23:51:40",41
"2020-03-16 23:51:40",,,78,68,44,,46,,59,51,,,80,,57,77,,,,42,,73
"2020-03-17 23:51:40",,60,,,,,,81,,,,64,,56,,,,,,,74,,,,49
"2020-03-18 23:51:40",,,,,,,,,,,,,,,,,75,,,,,,72
"2020-03-19 23:51:40",,,,,,,,,,,90,,,,,,,,85
"2020-03-20 23:51:40",,,,,,82,,,67,,,,,,,,,74,,,,,,57
"2020-03-22 23:51:40",66
"2020-03-23 23:51:40",,77,82,70,47,,70,,,73,,,85,72,60,84,,,,44,,80,,,65,56
"2020-03-24 23:51:40",,,,,,,,81,,,,63,,,,,,,,,80
"2020-03-25 23:51:40",,,,,,,,,,,88,,,,,,77,,85,,,,77
"2020-03-27 23:51:40",,,,,,81,,,78,,,,,,,,,75,,,,,,80
"2020-03-29 23:51:40",80,,,83,68,,,,,,,,,,83,,,,,64
"2020-03-30 23:51:40",,85,80,,,,70,,,84,,64,88,73,,85,,,,,,86,,,77,80
"2020-03-31 23:51:40",,,,,,,,82,,,,,,,,,,,,,80
"2020-04-01 23:51:40",,,,,,,,,,,,,,,,,76,,,,,,81
"2020-04-02 23:51:40",,,,,,,,,,,,,,,,,,,83
"2020-04-03 23:51:40",,,,,,,,,81,,85,,,,,,,83
"2020-04-05 23:51:40",,,,86,79,,,,,,,,,,80,,,,,72
"2020-04-06 23:51:40",,85,81,,,,68,,,77,,74,90,77,,85,,,,,,83,,,72,81
"2020-04-07 23:51:40",,,,,,,,83,,,,,,,,,77,,,,83,,77
"2020-04-08 23:51:40",,,,,,,,,,,,,,,,,,,82
"2020-04-09 23:51:40",,,,,,,,,,,86
"2020-04-10 23:51:40",,,,,,80,,,,,,,,,,,,85
"2020-04-12 23:51:40",,,,79,71,,,,,,,,,,78,,,,,75
"2020-04-13 23:51:40",,78,83,,,,65,,,78,,75,85,81,,85,,,,,,86,,,75,78
"2020-04-14 23:51:40",,,,,,,,81,,,,,,,,,77,,,,81,,82,80
"2020-04-16 23:51:40",,,,,,,,,,,87,,,,,,,,82
"2020-04-17 23:51:40",,,,,,81,,,,,,,,,,,,83,,,,,,75
"2020-04-19 23:51:40",,,,86,71,,,,,,,,,,80,,,,,68
"2020-04-20 23:51:40",,86,79,,,,66,,,78,,78,86,78,,81,,,,,,86,,,73,77
"2020-04-21 23:51:40",,,,,,,,81,,,,,,,,,,,,,80
"2020-04-22 23:51:40",,,,,,,,,,,,,,,,,78,,,,,,81
"2020-04-23 23:51:40",,,,,,,,,,,85,,,,,,,,77
"2020-04-24 23:51:40",,,,,,80,,,,,,,,,,,,86,,,,,,76
"2020-04-26 23:51:40",,,,79,77,,,,,,,,,,76,,,,,78
"2020-04-27 23:51:40",,84,83,,,,62,,,75,,79,89,78,,84,,,,,,83,,,72,83
"2020-04-28 23:51:40",,,,,,,,81,,,,,,,,,,,,,81
"2020-04-29 23:51:40",,,,,,,,,,,,,,,,,76,,,,,,79
"2020-04-30 23:51:40",,,,,,,,,,,83,,,,,,,,79
"2020-05-01 23:51:40",,,,,,80,,,,,,,,,,,,84,,,,,,74
"2020-05-03 23:51:40",,,,78,74,,,,,,,,,,76,,,,,69
"2020-05-04 23:51:40",,,82,,,,62,,,80,,79,86,,,82,76,,,,,83,79,,,80
"2020-05-05 23:51:40",,,,,,,,83,,,,,,,,,,,,,78
